iter	Passed	Remaining
727	508	189
728	508	189
729	509	188
730	509	187
731	510	186
732	510	186
733	511	185
734	511	184
735	512	183
736	512	182
737	513	182
738	513	181
739	514	180
740	514	179
741	515	179
742	515	178
743	516	177
744	516	176
745	517	176
746	517	175
747	518	174
748	518	173
749	519	173
750	519	172
751	520	171
752	520	170
753	521	170
754	521	169
755	522	168
756	522	167
757	523	167
758	523	166
759	524	165
760	524	164
761	525	164
762	525	163
763	526	162
764	526	161
765	527	161
766	527	160
767	528	159
768	528	158
769	529	158
770	529	157
771	530	156
772	530	155
773	531	155
774	531	154
775	532	153
776	532	152
777	533	152
778	533	151
779	534	150
780	534	149
781	535	149
782	535	148
783	536	147
784	536	147
785	537	146
786	537	145
787	538	144
788	538	144
789	539	143
790	540	142
791	540	141
792	541	141
793	541	140
794	542	139
795	542	139
796	543	138
797	543	137
798	544	136
799	544	136
800	545	135
801	545	134
802	546	134
803	547	133
804	547	132
805	548	131
806	548	131
807	549	130
808	549	129
809	550	129
810	550	128
811	551	127
812	551	126
813	552	126
814	552	125
815	553	124
816	553	124
817	554	123
818	554	122
819	555	121
820	555	121
821	556	120
822	556	119
823	557	119
824	557	118
825	558	117
826	558	116
827	559	116
828	559	115
829	560	114
830	560	114
831	561	113
832	561	112
833	562	111
834	562	111
835	563	110
836	563	109
837	564	109
838	564	108
839	565	107
840	565	107
841	566	106
842	566	105
843	567	104
844	567	104
845	568	103
846	569	102
847	569	102
848	570	101
849	570	100
850	571	99
851	571	99
852	572	98
853	572	97
854	572	97
855	573	96
856	573	95
857	574	95
858	574	94
859	575	93
860	575	92
861	576	92
862	576	91
863	577	90
864	578	90
865	578	89
866	579	88
867	579	88
868	580	87
869	580	86
870	581	86
871	581	85
872	582	84
873	582	83
874	583	83
875	583	82
876	584	81
877	584	81
878	585	80
879	585	79
880	586	79
881	586	78
882	587	77
883	587	77
884	588	76
885	588	75
886	589	75
887	589	74
888	590	73
889	590	72
890	591	72
891	591	71
892	592	70
893	592	70
894	593	69
895	593	68
896	594	68
897	594	67
898	595	66
899	595	66
900	596	65
901	596	64
902	597	64
903	597	63
904	598	62
905	598	62
906	599	61
907	599	60
908	600	60
909	600	59
910	601	58
911	601	58
912	602	57
913	602	56
914	603	56
915	603	55
916	604	54
917	604	54
918	605	53
919	605	52
920	606	52
921	606	51
922	607	50
923	607	49
924	608	49
925	608	48
926	609	47
927	609	47
928	610	46
929	610	45
930	611	45
931	611	44
932	612	43
933	612	43
934	613	42
935	613	41
936	614	41
937	614	40
938	615	39
939	615	39
940	616	38
941	616	37
942	617	37
943	617	36
944	618	35
945	618	35
946	619	34
947	619	33
948	620	33
949	620	32
950	621	32
951	621	31
952	622	30
953	622	30
954	623	29
955	623	28
956	624	28
957	624	27
958	625	26
959	625	26
960	626	25
961	626	24
962	627	24
963	627	23
964	628	22
965	628	22
966	629	21
967	629	20
968	630	20
969	630	19
970	631	18
971	631	18
972	632	17
973	632	16
974	633	16
975	633	15
976	634	14
977	634	14
978	635	13
979	635	12
980	636	12
981	636	11
982	637	11
983	637	10
984	638	9
985	638	9
986	639	8
987	640	7
988	640	7
989	641	6
990	641	5
991	642	5
992	642	4
993	643	3
994	643	3
995	644	2
996	644	1
997	645	1
998	645	0
999	646	0
